"module name","licenses","repository","licenseUrl","parents"
"eventsource@0.1.6","MIT","https://github.com/aslakhellesoy/eventsource-node","http://github.com/aslakhellesoy/eventsource-node/raw/master/LICENSE","atlantis"
"evp_bytestokey@1.0.3","MIT","https://github.com/crypto-browserify/EVP_BytesToKey","https://github.com/crypto-browserify/EVP_BytesToKey/raw/master/LICENSE","atlantis"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa","https://github.com/sindresorhus/execa/raw/master/license","atlantis"
"exit@0.1.2","MIT","https://github.com/cowboy/node-exit","https://github.com/cowboy/node-exit/blob/master/LICENSE-MIT","atlantis"
"expand-braces@0.1.2","MIT","https://github.com/jonschlinkert/expand-braces","https://github.com/jonschlinkert/expand-braces/raw/master/LICENSE","atlantis"
"expand-brackets@0.1.5","MIT","https://github.com/jonschlinkert/expand-brackets","https://github.com/jonschlinkert/expand-brackets/raw/master/LICENSE","atlantis"
"expand-range@0.1.1","MIT","https://github.com/jonschlinkert/expand-range","https://github.com/jonschlinkert/expand-range/blob/master/LICENSE-MIT","atlantis"
"expand-range@1.8.2","MIT","https://github.com/jonschlinkert/expand-range","https://github.com/jonschlinkert/expand-range/raw/master/LICENSE","micromatch:atlantis"
"exports-loader@0.6.4","MIT","https://github.com/webpack/exports-loader","http://www.opensource.org/licenses/mit-license.php","atlantis"
"express@4.15.4","MIT","https://github.com/expressjs/express","https://github.com/expressjs/express/raw/master/LICENSE","atlantis"
"extend@3.0.1","MIT","https://github.com/justmoon/node-extend","https://github.com/justmoon/node-extend/raw/master/LICENSE","atlantis"
"external-editor@2.0.4","MIT","https://github.com/mrkmg/node-external-editor","https://github.com/mrkmg/node-external-editor/raw/master/LICENSE","atlantis"
"extglob@0.3.2","MIT","https://github.com/jonschlinkert/extglob","https://github.com/jonschlinkert/extglob/raw/master/LICENSE","atlantis"
"extract-text-webpack-plugin@2.1.2","MIT","http://github.com/webpack-contrib/extract-text-webpack-plugin","http://github.com/webpack-contrib/extract-text-webpack-plugin/raw/master/LICENSE","atlantis"
"extsprintf@1.3.0","MIT","https://github.com/davepacheco/node-extsprintf","https://github.com/davepacheco/node-extsprintf/raw/master/LICENSE","atlantis"
"eyes@0.1.8","MIT","","","atlantis"
"fast-deep-equal@1.0.0","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","atlantis"
"fast-diff@1.1.1","Apache-2.0","https://github.com/jhchen/fast-diff","https://github.com/jhchen/fast-diff","atlantis"
"fastparse@1.1.1","MIT","https://github.com/webpack/fastparse","https://github.com/webpack/fastparse","atlantis"
"faye-websocket@0.10.0","MIT","https://github.com/faye/faye-websocket-node","https://github.com/faye/faye-websocket-node","atlantis"
"faye-websocket@0.11.1","MIT","https://github.com/faye/faye-websocket-node","https://github.com/faye/faye-websocket-node","sockjs-client:atlantis"
"figures@2.0.0","MIT","https://github.com/sindresorhus/figures","https://github.com/sindresorhus/figures/raw/master/license","atlantis"
"file-loader@0.10.1","MIT","https://github.com/webpack/file-loader","https://github.com/webpack/file-loader/raw/master/LICENSE","atlantis"
"filename-regex@2.0.1","MIT","https://github.com/regexhq/filename-regex","https://github.com/regexhq/filename-regex/raw/master/LICENSE","atlantis"
"fileset@2.0.3","MIT","https://github.com/mklabs/node-fileset","https://github.com/mklabs/node-fileset/raw/master/LICENSE-MIT","atlantis"
"fill-range@2.2.3","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","atlantis"
"finalhandler@1.0.4","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","atlantis"
"find-up@1.1.2","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","atlantis"
"findup-sync@0.3.0","MIT","https://github.com/cowboy/node-findup-sync","https://github.com/cowboy/node-findup-sync/blob/master/LICENSE-MIT","atlantis"
"flatten@1.0.2","MIT","https://github.com/jesusabdullah/node-flatten","https://github.com/jesusabdullah/node-flatten/raw/master/LICENSE","atlantis"
"font-awesome@4.7.0","(OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome","atlantis"
"for-in@0.1.8","MIT","https://github.com/jonschlinkert/for-in","https://github.com/jonschlinkert/for-in/raw/master/LICENSE","mixin-object:atlantis"
"for-in@1.0.2","MIT","https://github.com/jonschlinkert/for-in","https://github.com/jonschlinkert/for-in/raw/master/LICENSE","atlantis"
"for-own@0.1.5","MIT","https://github.com/jonschlinkert/for-own","https://github.com/jonschlinkert/for-own/raw/master/LICENSE","object.omit:atlantis"
"for-own@1.0.0","MIT","https://github.com/jonschlinkert/for-own","https://github.com/jonschlinkert/for-own/raw/master/LICENSE","atlantis"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent","https://github.com/mikeal/forever-agent/raw/master/LICENSE","atlantis"
"form-data@2.1.4","MIT","https://github.com/form-data/form-data","https://github.com/form-data/form-data/raw/master/License","atlantis"
"forwarded@0.1.2","MIT","https://github.com/jshttp/forwarded","https://github.com/jshttp/forwarded/raw/master/LICENSE","atlantis"
"fresh@0.5.0","MIT","https://github.com/jshttp/fresh","https://github.com/jshttp/fresh/raw/master/LICENSE","atlantis"
"fs-access@1.0.1","MIT","https://github.com/sindresorhus/fs-access","https://github.com/sindresorhus/fs-access/raw/master/license","atlantis"
"fs-extra@0.23.1","MIT","https://github.com/jprichardson/node-fs-extra","https://github.com/jprichardson/node-fs-extra/raw/master/LICENSE","directory-encoder:atlantis"
